0, 0, 448, 8
0, 0, 8, 160
216, 0, 16, 72
440, 0, 8, 160
40, 40, 48, 32
120, 40, 64, 32
264, 40, 64, 32
360, 40, 48, 32
40, 104, 48, 16
120, 104, 16, 112
168, 104, 112, 16
216, 104, 16, 64
312, 104, 16, 112
360, 104, 48, 16
0, 152, 88, 8
80, 152, 8, 64
120, 152, 64, 16
265, 152, 64, 16
360, 152, 88, 8
360, 152, 8, 64
168, 200, 40, 8
168, 200, 8, 64
240, 200, 40, 8
272, 200, 8, 64
0, 208, 88, 8
360, 208, 88, 8
0, 248, 88, 8
80, 248, 8, 64
120, 248, 16, 64
312, 248, 16, 64
360, 248, 88, 8
360, 248, 8, 64
168, 256, 122, 8
168, 296, 112, 16
216, 296, 16, 64
0, 304, 88, 8
0, 304, 8, 192
360, 304, 88, 8
440, 304, 8, 192
40, 344, 48, 16
72, 344, 16, 64
120, 344, 64, 16
264, 344, 64, 16
360, 344, 48, 16
360, 344, 16, 64
0, 392, 40, 16
120, 392, 16, 64
168, 392, 112, 16
216, 392, 16, 64
312, 392, 16, 64
408, 392, 60, 16
40, 440, 144, 16
264, 440, 144, 16
0, 488, 448, 8
